ip,cpu_usage,memory_usage,network_traffic,execution_time,latency
10.0.0.134,64.11,57.67,298.0,98.0,177.76
10.0.0.135,53.34,83.75,537.0,73.0,268.87
10.0.0.136,20.92,35.4,770.0,100.0,216.01
10.0.0.137,34.25,54.24,245.0,48.0,52.62
10.0.0.138,86.15,8.65,537.0,36.0,91.57
10.0.0.139,80.58,49.74,857.0,40.0,224.41
10.0.0.140,65.35,8.81,170.0,71.0,44.68
10.0.0.141,11.97,75.02,433.0,34.0,64.93
10.0.0.142,49.23,8.66,791.0,6.0,13.83
10.0.0.143,41.56,79.15,500.0,40.0,119.92
10.0.0.144,22.77,38.97,273.0,60.0,51.05
10.0.0.145,27.49,6.14,844.0,71.0,100.52
10.0.0.146,70.68,41.93,0.0,48.0,0.08
10.0.0.147,38.55,9.19,859.0,12.0,24.41
10.0.0.148,21.45,67.84,720.0,38.0,121.41
10.0.0.149,69.28,66.49,283.0,12.0,22.9
10.0.0.150,64.29,25.63,45.0,73.0,14.54
10.0.0.151,22.85,78.09,931.0,30.0,142.51
10.0.0.152,17.56,65.06,485.0,66.0,131.83
10.0.0.153,69.46,48.84,809.0,74.0,355.71
10.0.0.154,97.39,40.2,640.0,14.0,60.32
10.0.0.155,19.81,40.72,971.0,81.0,237.01
10.0.0.156,14.79,73.84,359.0,82.0,130.16
10.0.0.157,84.13,64.94,101.0,96.0,72.56
10.0.0.158,65.87,25.87,981.0,1.0,2.36
10.0.0.159,84.27,77.01,310.0,17.0,43.02
10.0.0.160,88.71,65.37,232.0,11.0,20.01
10.0.0.161,49.92,72.79,132.0,97.0,78.59
10.0.0.162,17.01,12.18,24.0,52.0,1.86
10.0.0.163,7.72,29.33,810.0,77.0,116.21
10.0.0.164,34.61,5.4,131.0,84.0,21.91
10.0.0.165,31.3,18.97,362.0,78.0,71.08
10.0.0.166,74.61,77.98,216.0,81.0,132.93
10.0.0.167,72.69,5.02,663.0,62.0,159.09
10.0.0.168,7.84,33.69,404.0,29.0,24.36
10.0.0.169,15.37,28.08,44.0,73.0,7.05
10.0.0.170,42.2,25.23,415.0,20.0,28.69
10.0.0.171,85.62,36.38,996.0,91.0,554.72
10.0.0.172,30.44,67.44,953.0,18.0,86.13
10.0.0.173,48.84,18.2,275.0,5.0,4.36
10.0.0.174,86.72,61.22,809.0,11.0,67.36
10.0.0.175,91.87,83.56,219.0,30.0,57.86
10.0.0.176,15.58,65.14,888.0,67.0,239.02
10.0.0.177,68.46,6.43,424.0,71.0,112.37
10.0.0.178,84.57,76.3,916.0,83.0,615.05
10.0.0.179,12.07,28.97,132.0,35.0,9.46
10.0.0.180,34.22,6.89,346.0,9.0,6.57
10.0.0.181,9.23,12.36,58.0,85.0,5.35
10.0.0.182,47.05,41.18,706.0,77.0,240.1
10.0.0.183,27.88,82.88,387.0,36.0,78.06
10.0.0.184,80.52,46.7,669.0,74.0,316.24
10.0.0.185,21.0,84.97,127.0,11.0,7.13
10.0.0.186,18.38,9.02,386.0,11.0,5.82
10.0.0.187,88.53,19.4,391.0,34.0,70.97
10.0.0.188,61.0,94.76,933.0,84.0,614.06
10.0.0.189,19.38,52.37,530.0,65.0,123.67
10.0.0.190,95.39,18.25,929.0,47.0,248.83
10.0.0.191,78.06,99.48,338.0,19.0,56.19
10.0.0.192,31.48,96.38,43.0,80.0,22.07
10.0.0.193,59.02,61.18,104.0,20.0,12.84
10.0.0.194,27.13,38.63,761.0,9.0,22.92
10.0.0.195,33.04,50.35,879.0,19.0,70.14
10.0.0.196,81.66,47.74,397.0,42.0,108.39
10.0.0.197,31.15,12.14,529.0,46.0,52.21
10.0.0.198,80.03,96.52,447.0,5.0,20.53
10.0.0.199,44.8,26.72,309.0,51.0,56.73
10.0.0.200,8.18,18.41,728.0,8.0,7.73
10.0.0.201,57.74,96.04,89.0,96.0,65.35
10.0.0.202,51.22,8.89,342.0,36.0,36.93
10.0.0.203,6.06,88.72,11.0,40.0,2.05
10.0.0.204,47.81,98.69,320.0,80.0,187.83
10.0.0.205,36.39,38.32,304.0,34.0,38.46
10.0.0.206,25.18,14.52,678.0,15.0,19.95
10.0.0.207,90.37,62.95,384.0,93.0,274.09
10.0.0.208,27.6,26.57,484.0,98.0,128.29
10.0.0.209,45.89,48.77,11.0,89.0,4.69
10.0.0.210,35.15,52.49,168.0,69.0,51.01
10.0.0.211,15.63,70.51,627.0,84.0,227.66
10.0.0.212,25.91,62.21,934.0,27.0,109.23
10.0.0.213,73.08,94.2,124.0,55.0,56.76
10.0.0.214,20.62,59.68,181.0,30.0,21.86
10.0.0.215,37.48,12.55,611.0,100.0,152.62
10.0.0.216,68.31,28.42,448.0,78.0,168.82
10.0.0.217,56.4,8.76,336.0,65.0,70.83
10.0.0.218,47.81,18.34,798.0,88.0,233.67
10.0.0.219,12.21,28.26,627.0,25.0,32.06
10.0.0.220,99.95,62.35,935.0,81.0,617.09
10.0.0.221,23.49,76.03,299.0,32.0,47.51
10.0.0.222,87.29,82.19,491.0,86.0,358.13
10.0.0.223,14.47,66.47,189.0,85.0,64.88
10.0.0.224,30.43,61.0,902.0,44.0,179.86
10.0.0.225,88.56,80.99,44.0,38.0,14.27
10.0.0.226,82.52,44.73,602.0,95.0,364.77
10.0.0.227,74.13,85.94,218.0,23.0,40.13
10.0.0.228,66.39,63.43,718.0,45.0,210.36
10.0.0.229,26.46,74.39,172.0,47.0,41.01
10.0.0.230,20.65,35.42,127.0,32.0,11.26
10.0.0.231,85.61,12.71,622.0,81.0,248.24
10.0.0.232,15.27,52.65,699.0,29.0,68.74
10.0.0.233,97.78,71.14,327.0,59.0,163.22
10.0.0.234,49.83,17.39,875.0,5.0,16.11
10.0.0.235,50.49,61.63,999.0,14.0,79.06
10.0.0.236,36.55,42.03,630.0,10.0,24.66
10.0.0.237,53.54,29.9,414.0,83.0,142.89
10.0.0.238,92.56,26.31,872.0,16.0,80.72
10.0.0.239,9.11,26.06,417.0,83.0,60.98
10.0.0.240,31.39,54.03,211.0,34.0,30.77
10.0.0.241,80.82,95.92,2.0,51.0,0.72
10.0.0.242,69.07,29.24,729.0,81.0,289.46
10.0.0.243,15.16,75.21,897.0,56.0,227.8
10.0.0.244,40.13,57.84,693.0,7.0,23.78
10.0.0.245,47.07,71.43,486.0,58.0,166.38
10.0.0.246,66.08,87.76,697.0,28.0,151.9
10.0.0.247,52.13,78.11,106.0,90.0,61.95
10.0.0.248,42.53,73.06,426.0,15.0,36.33
10.0.0.249,22.97,19.51,749.0,76.0,120.87
10.0.0.250,24.9,11.64,87.0,11.0,1.79
10.0.0.251,65.1,58.44,378.0,38.0,87.98
10.0.0.252,15.74,10.84,920.0,55.0,66.73
10.0.0.253,6.77,86.36,794.0,9.0,32.42
10.0.0.254,61.25,40.95,487.0,59.0,146.82
10.0.0.255,41.32,11.82,733.0,53.0,102.87
10.0.1.1,62.71,8.25,25.0,7.0,0.63
10.0.1.2,94.18,31.97,117.0,29.0,21.15
10.0.1.3,46.67,84.06,38.0,100.0,24.5
10.0.1.4,47.71,49.66,549.0,79.0,209.99
10.0.1.5,29.75,81.99,524.0,62.0,181.31
10.0.1.6,29.6,48.68,505.0,25.0,49.22
10.0.1.7,40.82,17.44,523.0,13.0,19.89
10.0.1.8,83.15,93.75,348.0,79.0,242.12
10.0.1.9,80.53,46.16,367.0,24.0,56.74
10.0.1.10,94.05,53.59,411.0,46.0,139.38
10.0.1.11,39.6,38.58,109.0,100.0,42.47
10.0.1.12,62.64,23.26,843.0,30.0,107.23
10.0.1.13,16.5,64.91,227.0,3.0,2.47
10.0.1.14,92.2,17.54,868.0,31.0,146.68
10.0.1.15,8.02,20.83,909.0,62.0,81.88
10.0.1.16,94.5,70.74,368.0,44.0,132.95
10.0.1.17,12.29,20.5,418.0,86.0,59.03
10.0.1.18,80.29,92.93,861.0,46.0,341.06
10.0.1.19,20.88,64.44,212.0,91.0,82.8
10.0.1.20,92.32,21.01,658.0,64.0,240.03
10.0.1.21,87.0,67.51,291.0,12.0,26.74
10.0.1.22,15.1,46.44,642.0,36.0,71.77
10.0.1.23,92.97,65.95,619.0,25.0,121.25
10.0.1.24,77.89,71.39,411.0,24.0,72.19
10.0.1.25,42.78,68.36,930.0,92.0,474.89
10.0.1.26,78.83,22.74,834.0,100.0,422.99
10.0.1.27,40.15,19.45,700.0,64.0,132.7
10.0.1.28,31.97,40.06,231.0,99.0,82.63
10.0.1.29,63.74,56.38,496.0,9.0,26.57
10.0.1.30,53.03,41.62,313.0,91.0,135.36
10.0.1.31,52.32,98.01,128.0,67.0,65.01
10.0.1.32,16.46,35.77,362.0,12.0,11.67
10.0.1.33,95.94,94.42,599.0,15.0,87.68
10.0.1.34,66.38,8.46,173.0,74.0,47.66
10.0.1.35,77.3,53.99,685.0,90.0,404.94
10.0.1.36,81.01,50.18,803.0,12.0,64.3
10.0.1.37,64.03,30.87,446.0,92.0,195.5
10.0.1.38,56.97,83.85,762.0,68.0,367.25
10.0.1.39,19.45,63.18,291.0,77.0,92.27
10.0.1.40,45.56,81.52,483.0,78.0,240.34
10.0.1.41,68.75,83.69,655.0,12.0,62.1
10.0.1.42,72.61,52.61,876.0,61.0,335.19
10.0.1.43,19.76,70.41,757.0,29.0,97.64
10.0.1.44,71.7,71.24,70.0,86.0,43.14
10.0.1.45,56.71,79.5,814.0,22.0,121.26
10.0.1.46,83.3,86.63,601.0,12.0,61.83
10.0.1.47,73.14,57.85,667.0,9.0,37.66
10.0.1.48,47.52,42.64,456.0,45.0,92.94
10.0.1.49,44.35,9.33,860.0,62.0,142.1
10.0.1.50,18.41,14.7,711.0,12.0,14.7
10.0.1.51,86.32,54.22,861.0,2.0,14.18
10.0.1.52,74.52,12.58,390.0,5.0,8.05
10.0.1.53,63.48,73.97,815.0,9.0,50.19
10.0.1.54,11.19,51.28,680.0,36.0,76.71
10.0.1.55,63.45,27.5,863.0,77.0,303.37
10.0.1.56,80.48,95.39,38.0,31.0,10.56
10.0.1.57,73.43,21.47,548.0,10.0,25.35
10.0.1.58,28.24,98.36,629.0,84.0,334.16
10.0.1.59,44.4,19.12,598.0,98.0,185.73
10.0.1.60,94.5,91.98,987.0,65.0,602.24
10.0.1.61,81.53,12.06,233.0,87.0,94.8
10.0.1.62,75.22,76.13,911.0,40.0,272.35
10.0.1.63,54.85,97.84,107.0,42.0,34.46
10.0.1.64,17.2,90.18,987.0,25.0,134.65
10.0.1.65,18.27,34.42,823.0,61.0,131.79
10.0.1.66,38.82,8.56,498.0,25.0,29.9
10.0.1.67,31.53,55.08,576.0,55.0,138.07
10.0.1.68,47.28,13.14,666.0,93.0,188.14
10.0.1.69,25.66,80.1,847.0,13.0,57.83
10.0.1.70,16.14,84.37,951.0,89.0,425.67
10.0.1.71,13.32,96.22,631.0,1.0,2.32
10.0.1.72,39.15,89.27,502.0,42.0,135.36
10.0.1.73,53.09,67.05,33.0,10.0,2.0
10.0.1.74,28.53,89.88,587.0,0.0,1.26
10.0.1.75,66.34,68.51,608.0,82.0,334.65
10.0.1.76,42.58,78.55,860.0,34.0,176.41
10.0.1.77,20.71,5.42,987.0,59.0,76.28
10.0.1.78,37.66,32.15,427.0,57.0,85.06
10.0.1.79,16.08,88.44,736.0,43.0,166.26
10.0.1.80,57.12,75.75,463.0,64.0,195.67
10.0.1.81,90.94,64.48,917.0,81.0,579.99
10.0.1.82,20.54,49.06,466.0,88.0,143.57
10.0.1.83,46.21,49.22,278.0,80.0,106.54
10.0.1.84,48.92,79.31,59.0,37.0,14.07
10.0.1.85,71.29,65.6,241.0,52.0,85.22
10.0.1.86,18.21,88.9,870.0,68.0,318.41
10.0.1.87,56.56,75.31,549.0,47.0,171.0
10.0.1.88,88.24,97.07,344.0,9.0,29.72
10.0.1.89,47.76,51.11,932.0,89.0,411.85
10.0.1.90,76.95,17.05,649.0,79.0,240.94
10.0.1.91,99.34,62.64,942.0,3.0,25.34
10.0.1.92,28.88,17.51,706.0,30.0,48.48
10.0.1.93,14.92,20.7,882.0,17.0,27.07
10.0.1.94,57.05,22.97,331.0,11.0,14.65
10.0.1.95,54.61,64.46,596.0,99.0,352.26
10.0.1.96,49.7,78.94,523.0,21.0,72.18
10.0.1.97,9.8,49.52,362.0,92.0,98.4
10.0.1.98,8.96,11.99,839.0,15.0,13.51
10.0.1.99,74.5,9.43,220.0,51.0,46.72
10.0.1.100,93.32,83.3,261.0,49.0,112.43
10.0.1.101,88.22,9.77,281.0,24.0,32.84
10.0.1.102,60.26,30.27,667.0,1.0,2.15
10.0.1.103,99.46,65.63,539.0,53.0,234.22
10.0.1.104,58.79,16.48,187.0,78.0,55.33
10.0.1.105,83.99,47.07,835.0,98.0,534.54
10.0.1.106,94.66,82.49,989.0,36.0,318.45
10.0.1.107,67.86,14.32,999.0,25.0,101.35
10.0.1.108,69.77,23.69,411.0,86.0,165.09
10.0.1.109,39.72,84.32,100.0,44.0,27.11
10.0.1.110,30.47,64.97,114.0,78.0,42.39
10.0.1.111,78.02,40.21,753.0,92.0,411.62
10.0.1.112,7.21,22.1,319.0,26.0,12.0
10.0.1.113,21.59,20.01,149.0,37.0,11.36
10.0.1.114,68.26,81.33,582.0,2.0,10.25
10.0.1.115,39.42,31.52,351.0,56.0,69.76
10.0.1.116,50.49,76.67,894.0,23.0,133.46
10.0.1.117,90.58,11.24,766.0,50.0,196.91
10.0.1.118,69.81,45.56,173.0,87.0,87.02
10.0.1.119,43.18,82.12,53.0,35.0,11.52
10.0.1.120,37.5,65.33,82.0,46.0,19.23
10.0.1.121,89.65,95.63,329.0,74.0,225.84
10.0.1.122,13.46,44.79,97.0,31.0,8.83
10.0.1.123,10.16,15.02,587.0,92.0,67.94
10.0.1.124,61.5,33.85,286.0,39.0,53.05
10.0.1.125,5.85,29.83,813.0,31.0,44.39
10.0.1.126,47.45,50.52,930.0,69.0,316.41
10.0.1.127,14.49,74.54,231.0,83.0,85.34
10.0.1.128,16.64,92.31,978.0,46.0,245.32
10.0.1.129,19.45,92.89,91.0,28.0,14.08
10.0.1.130,66.36,39.16,759.0,49.0,195.07
10.0.1.131,68.27,61.99,504.0,13.0,42.27
10.0.1.132,44.89,39.91,824.0,60.0,209.06
10.0.1.133,24.04,34.54,711.0,52.0,108.86
10.0.1.134,8.36,13.18,831.0,41.0,36.35
10.0.1.135,59.75,44.87,771.0,66.0,265.9
10.0.1.136,80.72,84.33,425.0,100.0,350.05
10.0.1.137,11.57,77.01,776.0,17.0,58.8
10.0.1.138,63.22,61.89,181.0,77.0,86.75
10.0.1.139,84.34,43.89,411.0,85.0,224.22
10.0.1.140,51.11,32.13,967.0,5.0,20.85
10.0.1.141,51.85,12.06,680.0,54.0,117.89
10.0.1.142,79.38,79.73,539.0,30.0,127.19
10.0.1.143,37.46,17.38,302.0,46.0,38.21
10.0.1.144,47.01,77.12,632.0,77.0,301.52
10.0.1.145,97.44,18.23,236.0,89.0,121.04
10.0.1.146,12.16,45.02,74.0,69.0,14.68
10.0.1.147,27.11,50.99,233.0,45.0,41.41
10.0.1.148,37.28,99.76,570.0,31.0,119.08
10.0.1.149,61.19,28.46,248.0,65.0,71.82
10.0.1.150,70.63,65.55,862.0,89.0,521.93
10.0.1.151,97.58,6.4,223.0,26.0,30.3
10.0.1.152,16.02,27.91,920.0,79.0,158.76
10.0.1.153,59.71,35.04,717.0,92.0,310.87
10.0.1.154,81.24,32.77,55.0,14.0,4.48
10.0.1.155,39.59,48.38,379.0,51.0,84.38
10.0.1.156,82.6,11.08,192.0,68.0,61.06
10.0.1.157,49.36,35.15,930.0,52.0,202.98
10.0.1.158,18.64,68.31,57.0,73.0,17.94
10.0.1.159,88.83,57.22,558.0,17.0,69.06
10.0.1.160,86.37,27.74,44.0,29.0,7.3
10.0.1.161,25.26,12.38,949.0,89.0,159.66
10.0.1.162,98.16,65.73,513.0,40.0,169.55
10.0.1.163,74.17,16.83,926.0,84.0,355.47
10.0.1.164,75.79,22.36,953.0,95.0,442.9
10.0.1.165,47.76,6.22,539.0,55.0,80.2
10.0.1.166,40.72,63.11,889.0,60.0,276.94
10.0.1.167,7.95,12.29,338.0,30.0,10.38
10.0.1.168,39.92,54.91,476.0,58.0,131.74
10.0.1.169,65.63,62.09,522.0,46.0,151.94
10.0.1.170,82.91,76.44,0.0,44.0,0.13
10.0.1.171,31.97,95.67,241.0,88.0,134.79
10.0.1.172,90.24,52.53,147.0,19.0,20.14
10.0.1.173,9.96,95.64,747.0,43.0,170.98
10.0.1.174,27.22,6.76,83.0,81.0,11.47
10.0.1.175,41.71,55.2,78.0,61.0,23.19
10.0.1.176,19.77,49.49,916.0,44.0,140.45
10.0.1.177,92.67,97.11,932.0,51.0,452.96
10.0.1.178,29.14,75.42,462.0,89.0,214.52
10.0.1.179,93.05,61.39,918.0,16.0,113.45
10.0.1.180,36.09,37.47,115.0,19.0,7.93
10.0.1.181,23.27,33.18,767.0,51.0,110.72
10.0.1.182,8.89,63.39,221.0,45.0,36.21
10.0.1.183,86.43,27.35,706.0,83.0,334.74
10.0.1.184,36.17,38.31,572.0,54.0,114.26
10.0.1.185,51.0,65.24,502.0,30.0,88.11
10.0.1.186,90.26,18.34,83.0,2.0,0.97
10.0.1.187,18.42,57.4,441.0,15.0,25.83
10.0.1.188,97.79,97.43,346.0,22.0,73.47
10.0.1.189,46.04,6.82,747.0,40.0,78.57
10.0.1.190,83.28,54.08,600.0,72.0,296.13
10.0.1.191,91.14,40.8,454.0,65.0,193.91
10.0.1.192,44.05,70.44,226.0,75.0,96.87
10.0.1.193,18.82,90.52,480.0,20.0,51.22
10.0.1.194,14.27,57.06,707.0,87.0,218.9
10.0.1.195,42.87,7.62,797.0,58.0,115.81
10.0.1.196,16.19,72.24,113.0,79.0,39.75
10.0.1.197,91.72,54.56,662.0,80.0,385.18
10.0.1.198,77.8,80.44,293.0,41.0,95.27
10.0.1.199,67.51,35.4,550.0,49.0,139.13
10.0.1.200,16.32,52.46,407.0,63.0,88.2
10.0.1.201,83.18,16.56,108.0,65.0,34.93
10.0.1.202,90.71,44.86,275.0,77.0,143.84
10.0.1.203,88.35,55.01,112.0,42.0,33.65
10.0.1.204,9.08,82.32,189.0,71.0,61.23
10.0.1.205,35.86,64.19,383.0,50.0,95.4
10.0.1.206,21.5,52.24,231.0,41.0,35.02
10.0.1.207,88.02,25.53,345.0,61.0,119.64
10.0.1.208,55.2,82.49,327.0,66.0,147.94
10.0.1.209,29.03,55.3,313.0,27.0,35.93
10.0.1.210,75.58,43.94,117.0,38.0,27.01
10.0.1.211,61.86,36.4,792.0,11.0,43.22
10.0.1.212,20.16,85.46,810.0,1.0,5.73
10.0.1.213,92.29,42.9,129.0,64.0,56.1
10.0.1.214,63.07,40.93,65.0,20.0,6.67
10.0.1.215,63.04,16.33,456.0,72.0,129.89
10.0.1.216,93.34,49.81,909.0,73.0,474.49
10.0.1.217,30.9,52.8,929.0,43.0,167.37
10.0.1.218,80.67,34.81,226.0,18.0,23.38
10.0.1.219,81.79,17.67,645.0,30.0,97.37
10.0.1.220,64.7,91.7,965.0,50.0,379.64
10.0.1.221,34.79,19.67,403.0,63.0,69.22
10.0.1.222,69.55,45.19,313.0,76.0,135.57
10.0.1.223,61.18,97.02,851.0,18.0,119.07
10.0.1.224,77.05,11.99,218.0,8.0,7.54
10.0.1.225,57.02,90.83,938.0,69.0,477.68
10.0.1.226,55.99,85.17,875.0,25.0,156.52
10.0.1.227,22.59,17.47,306.0,38.0,23.27
10.0.1.228,66.98,58.47,358.0,35.0,79.51
10.0.1.229,54.15,85.95,838.0,68.0,400.76
10.0.1.230,34.37,38.58,627.0,46.0,105.37
10.0.1.231,94.57,75.45,351.0,32.0,94.02
10.0.1.232,88.7,29.09,762.0,83.0,371.36
10.0.1.233,33.24,92.14,146.0,42.0,38.4
10.0.1.234,36.85,5.6,118.0,28.0,6.98
10.0.1.235,40.37,41.17,325.0,98.0,130.59
10.0.1.236,98.8,96.95,331.0,42.0,135.37
10.0.1.237,91.69,18.87,863.0,35.0,165.18
10.0.1.238,29.58,59.53,585.0,15.0,39.76
10.0.1.239,96.21,62.89,121.0,90.0,86.7
10.0.1.240,22.96,92.58,759.0,16.0,69.62
10.0.1.241,62.71,96.34,795.0,37.0,232.25
10.0.1.242,76.43,12.28,799.0,12.0,42.03
